trackNum,lifetime,max_intensity,background,totaldisp,max_msd,catIdx,aux,avg_rise,avg_dec,risevsdec,avg_mom_rise,avg_mom_dec,risevsdec_mom
1-322,3,563.8669979744066,1231.0765053994685,2.310863069729141,5.340088127037989,1,0,331.3939965333176,-265.6591839188463,1.0,539.8034740148549,-624.8635836786879,1.2
1-323,2,861.6259044149191,1531.35628944535,1.3124165335436795,1.722437157518808,1,0,262.3856168018276,-302.77236239399633,1.2,396.0077451284178,-383.702180252877,0.6666666666666666
1-325,51,2429.469989317193,1421.2537066931156,0.9577331359914102,1.444782398787815,1,0,254.07749873155234,-253.78963065166303,1.0,409.0586700770649,-426.5358393502348,1.0344827586206897
1-326,3,447.48367178877095,1271.9506206033313,3.291033060257581,10.830898603708377,1,0,271.41103796217214,-165.36056733183545,0.7142857142857143,386.01625238991664,-467.5141733495184,1.2
1-327,43,1805.6618191209602,1322.5220491857447,3.855981683551648,1.2738871010465083,1,1,194.06466809706498,-269.5760755335147,1.3636363636363635,344.7225822754755,-423.2455325853192,1.2173913043478262
1-329,3,669.7995716142841,1203.131716768382,1.973405462185507,3.935452375099955,1,0,110.44584783171545,-177.13035166269623,1.4,127.90160339743952,-294.78614568735173,2.6666666666666665
1-332,3,1209.1622121996786,1300.4100428644906,2.2844088123638184,5.2185236220054705,1,0,414.9290405276165,-268.8669027820737,0.7142857142857143,686.4049772992632,-588.2438895920819,0.8333333333333334
1-334,2,655.3858965341118,1349.1925948766,0.19687146203963712,0.03875837256562428,1,0,360.712611932823,-193.1362744158305,0.5714285714285714,330.21500628181457,-572.7207110503022,2.3333333333333335
1-335,45,2334.0102499982577,1325.4163638037985,1.3770185427307347,2.2368416083240463,1,1,176.5851039250263,-227.50776600222912,1.3478260869565217,329.15886229101557,-295.86229732059286,0.8928571428571429
1-343,86,5385.727933443118,1786.5248625457664,3.6247937482311072,2.1686984592911664,1,0,436.38432405637815,-554.9169850915482,1.2619047619047619,793.0136997568958,-824.8342252005151,1.0434782608695652
1-345,2,890.8354896281718,1470.29702532813,2.1737111476357525,4.725020153355939,1,0,281.6985815347892,-477.50666468515476,1.75,643.2585813868062,-581.1992029771861,1.0
1-346,5,1123.3004180323455,1484.4517936675895,3.0314991196026315,9.189986912151529,1,0,191.71701496919033,-476.73656901974374,2.5,455.5336620658997,-550.1525458068805,1.1666666666666667
1-347,2,1642.9058934333284,1584.8583023480376,1.490812748960792,2.2225226524640336,1,0,489.07792984967,-818.0194135645206,1.2,1521.4604196574535,-1118.2148721756284,0.6666666666666666
1-348,69,2543.116976000772,1371.1635802484143,1.7016834767438127,1.1953056715858765,1,1,279.1702274067907,-345.1075172072283,1.2285714285714286,427.53971075010395,-565.4133655555581,1.3333333333333333
1-349,5,1395.0521229332815,1546.9246784366262,3.0926993868018893,11.405473615970623,1,0,619.5740996372587,-370.9579226440214,0.5555555555555556,603.2462440178597,-1127.7632490887963,2.25
1-350,7,1303.5623886504793,1254.001148607501,1.5306610906727443,2.6880090132456425,1,0,386.1715703886473,-492.9051084646085,1.6666666666666667,758.0817630320491,-625.9971381975129,0.875
1-352,3,461.3407280519889,1246.7394231704984,4.068476635431298,16.55250213305038,1,0,167.6486972793289,-175.95959130852862,1.0,256.49114308602464,-241.4277481944151,0.8333333333333334
1-353,4,1767.0310209051347,1395.1032596902778,4.916049799105582,24.167545627286028,1,0,361.0763253910437,-611.8000138698042,1.6,892.0228092516437,-885.76990797289,1.0
1-354,4,1628.0069530608805,1528.2355857616014,3.5975543096404508,12.94239701081258,1,0,455.646821985057,-403.91198948764577,0.8571428571428571,1081.0741708262744,-606.4963941465635,0.5
1-355,7,594.8357268378929,1296.0964971635742,3.949746383283544,15.600496492261438,1,0,249.1766549935773,-228.3743370670203,0.7777777777777778,349.7975233762156,-483.74104652408715,1.1428571428571428
1-356,86,3856.7219232844527,1662.9986121895827,5.777434879851413,2.1400891735428793,1,1,404.45102165348163,-428.72147508027365,1.065217391304348,799.0257686064306,-689.2189736579859,0.88
1-357,2,371.2726059426407,1199.3064843115137,0.45382659163356504,0.20595857527373862,1,0,125.33733954746903,-246.184486340371,1.75,367.05821070839505,-262.64489793823714,0.6666666666666666
1-358,2,1582.7408663818148,1580.966032977112,0.45923182041595884,0.21089386488255546,1,0,559.2572733099216,-324.8573954498471,0.5714285714285714,659.2860477509793,-705.4612646290132,1.0
1-359,2,721.60352644522,1487.2033787963098,2.054170112801791,4.219614852328123,1,0,248.96649235986925,-325.46959288438774,1.2,400.0783468524073,-499.5183976425801,1.0
1-361,3,575.9512188197359,1163.9555936869651,1.1442702687597643,2.237027286175626,1,0,160.8851512997166,-166.8831726448485,1.4,215.8548606195441,-223.49946054822308,1.2
1-362,158,3316.892316990229,1521.3587519275409,4.616963084813453,1.386854120048888,1,1,303.227390152311,-280.9259886036786,0.9418604651162791,489.75366881879,-532.4158463902594,1.1012658227848102
1-363,61,3397.121798128072,1541.9176804970398,2.262843074962223,0.9615224969766958,1,1,354.6115902420597,-270.96864387680665,0.75,503.24458239460074,-497.2500818620874,0.9714285714285714
1-364,5,669.6365770892212,1284.1835976097643,1.476490261099539,2.4364361720555725,1,0,171.0696196436023,-118.4603562238386,0.75,189.5372554525595,-317.019703095586,1.6
1-365,3,1488.5786166763157,1374.102947857196,0.8640648916740689,1.6626123091502814,1,0,279.49043777102423,-218.20257517386108,1.0,291.25387418894303,-531.5578086552196,1.75
